id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Dotson,-10.08,2.11,5.32,5.19,-1.68,4.66,-31.64,0.39,13.2,-8.65,5.34,3.16,5.39,3.88,1.81,4.83,4.92,-17.01,0.56,0.08,0.05,-23.6
143,Drury,0.18,0.1,0.21,0.37,-0.38,0.46,0.36,0.24,0.21,-0.37,0.4,0.35,0.19,0.31,0.12,-0.39,0.0,0.16,0.09,0.0,0.11,0.0
73,Drygalski,6.62,0.68,2.76,2.33,-2.56,-7.02,-11.25,-16.4,6.66,-2.32,1.84,0.48,3.07,2.54,0.5,-5.3,1.16,1.09,1.17,2.02,1.53,0.27
17,Edward_VIII,3.79,-1.34,1.46,1.39,-3.73,1.45,1.17,1.42,0.91,-3.48,1.13,1.17,1.32,1.39,-7.07,1.68,1.99,1.94,-3.97,0.14,0.07,-0.15
39,Ekstrom,6.37,0.47,3.16,2.87,-2.01,0.32,2.19,2.48,3.43,0.95,1.17,2.06,2.03,2.25,-1.03,-0.74,0.93,1.82,2.62,1.96,2.23,-1.06
173,Eltanin_Bay,-0.33,0.43,0.32,0.32,-0.11,-0.02,0.02,0.02,-0.42,-1.83,0.74,0.35,0.22,-0.07,-1.1,1.25,0.3,0.17,0.14,0.19,0.18,-0.18
126,Erebus,-0.31,-0.15,-0.01,-0.01,0.01,0.0,-0.01,-0.01,0.01,-0.01,0.0,-0.01,0.0,0.01,0.0,-0.02,0.0,0.0,0.0,0.0,0.02,0.0
130,Falkner,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
155,Ferrigno,3.62,-2.03,7.61,3.8,-2.45,1.61,1.95,-5.11,7.95,-0.65,-20.03,-3.17,0.07,0.14,-18.01,4.99,1.51,0.69,0.19,0.07,7.35,6.27
35,Filchner,207.74,-47.27,84.44,83.33,44.45,55.73,85.43,83.38,113.41,24.04,75.49,93.3,78.95,88.91,60.23,95.82,84.39,89.13,91.03,85.63,95.28,85.45
121,Fimbul,15.31,3.72,15.95,17.13,-3.39,8.03,19.9,10.9,-4.23,-5.75,11.83,-23.08,19.8,16.41,9.95,-5.46,-0.43,5.37,9.5,12.45,11.42,7.72
147,Fisher,2.52,0.92,1.31,1.35,0.03,1.39,1.14,1.06,-7.45,-4.54,1.12,0.6,0.46,0.62,-1.53,3.11,2.37,1.22,1.29,1.29,1.55,-3.63
81,Fitzgerald,-0.06,-1.22,-0.05,0.04,-0.11,0.09,0.03,-0.08,0.12,-0.13,0.1,-0.12,-0.06,0.07,-0.01,-0.1,0.15,0.07,0.1,0.01,0.17,0.01
21,Flatnes,0.64,-0.3,0.09,0.06,-0.8,0.38,0.31,0.19,-0.01,-0.88,0.31,0.19,-0.94,0.17,0.27,-0.99,0.0,0.0,0.0,0.0,0.02,0.0
153,Fox_East,2.75,-1.26,2.42,1.55,-1.72,1.39,0.01,0.72,1.86,-3.4,-1.05,-1.14,0.74,0.93,-1.43,3.46,3.75,3.33,3.1,2.87,2.77,-22.34
172,Fox_West,9.45,-0.18,3.17,3.14,0.17,0.13,2.26,0.68,-18.64,-3.89,1.31,-1.72,-0.73,1.08,0.0,-2.13,0.09,0.0,0.08,0.0,0.0,-0.03
28,Francais,-0.95,0.96,3.18,1.83,-2.01,2.34,-0.19,0.5,-2.82,-5.41,0.46,0.97,0.73,0.31,-2.24,3.2,1.22,0.42,0.2,1.33,0.87,-0.17
160,Frost,35.83,9.81,18.56,12.54,-2.83,9.05,1.49,-14.87,-46.22,-16.89,13.69,3.23,0.83,0.35,-17.18,30.1,28.49,-53.26,0.77,0.4,0.44,-4.25
140,Gannutz,0.03,0.01,0.03,0.02,-0.01,0.02,0.01,0.01,0.02,-0.03,0.04,0.01,0.02,0.03,0.01,-0.1,0.01,0.01,-0.01,0.01,0.0,0.0
170,Garfield,-1.99,0.02,0.49,0.27,0.2,-0.37,0.13,0.12,-0.38,0.28,-3.62,0.1,0.29,0.2,-1.0,0.88,0.89,-5.77,-0.09,-0.06,0.04,0.0
77,GeikieInlet,1.0,0.06,0.25,-0.05,-0.61,0.3,0.15,-0.19,0.26,-0.59,0.36,0.13,0.25,0.21,0.22,-0.08,0.22,0.05,0.14,0.08,0.07,0.05
45,George_VI,-3.28,0.69,4.83,3.8,-7.03,4.9,2.74,2.79,-0.8,-9.88,-19.19,-15.33,-2.69,-5.07,-8.49,-15.12,-0.36,0.53,1.38,3.35,3.72,1.55
60,Getz,63.56,4.23,41.22,24.64,-36.22,21.46,0.63,-2.35,44.95,-41.74,-4.69,0.22,-23.64,39.71,7.86,-75.78,20.86,-60.13,-9.11,-7.77,-34.6,-43.68
61,Getz_1,2.76,-0.57,0.91,0.81,-1.5,0.92,1.07,0.73,0.32,-1.68,0.95,1.07,1.05,1.05,1.04,-0.49,0.72,0.54,-10.15,0.01,0.01,-0.03
59,Getz_2,0.76,-1.89,0.1,0.08,0.01,-0.01,0.01,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.51,0.48,0.47,-7.38,0.0,0.0,0.0
29,Gillet,1.1,0.5,0.56,0.69,-0.08,0.49,0.29,0.38,0.29,-0.72,-2.21,0.23,0.33,0.23,0.23,-1.32,0.12,0.07,0.08,0.03,0.03,-0.03
69,Hamilton,-1.47,0.0,0.36,0.29,-0.41,0.23,0.22,0.26,0.24,-0.95,0.32,-0.74,0.06,0.24,0.21,-0.25,0.05,0.0,0.04,0.07,0.05,0.0
