,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
144,0.0,0.16,0.08,0.01,0.0,0.04,0.06,0.03,0.0,0.0,0.38000000000000006,0.06,0.02,0.0,0.0,0.03,0.0,0.04,0.06,0.0,0.0,0.0
133,0.010000000000000002,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.3423292132027185,0.0,0.3068181058749071,0.07670452646872677,0.0,1.2272724234996284,0.0,0.37393456653504303,1.668323450694807,0.41228682976940634,0.047940329042954234,0.0,0.2588777768319529,0.7382810672614952,0.9492185150504938,1.006746909902039,1.188920160265265,0.15340905293745355,0.03835226323436339,0.07670452646872677,0.09588065808590847,0.009588065808590847
124,3.4653376478211433,0.6559328629039289,1.5668674218883,1.8047390405774737,0.08999999999999998,0.01157307337761895,1.2496442278146824,1.1903625565070863,1.7456436026345745,0.0,0.009497901599563138,0.1922381925372522,0.48697384095384105,0.5045528072127761,0.9419987496397844,0.0068241225778373805,0.2867177035122961,0.12586635098796542,0.09399071495779963,0.04441978338084935,0.09295652122965616,0.00638514393247942
80,0.21000000000000002,0.51,0.21000000000000002,0.3746782788647833,0.0,0.07052612744576237,0.00350870914858746,0.0,0.9540348365943498,0.0,0.061695697161958205,0.0,0.03,0.21818698801337078,0.38,0.0,0.0975435457429373,0.058186988013370744,0.0716956971619582,0.04116956971619582,0.04988268517532894,0.00116956971619582
46,0.0,0.0,0.0,0.35,0.0,0.16000000000000003,0.6899999999999998,0.59,0.0,0.0,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.03,0.020000000000000004,0.0,0.0
138,0.16998798000433235,0.11332532000288821,0.11332532000288821,0.12276909666979557,0.0,0.10388154333598085,0.09443776666907353,0.10388154333598085,0.056662660001444105,0.0,0.0,0.10388154333598085,0.04721888333453676,0.10388154333598085,0.0,0.0,0.0,0.04721888333453676,0.0,0.018887553333814703,0.0,0.0
118,10.683591223626888,0.0,6.209999999999999,6.279999999999999,0.0,8.124920820044444,6.03508349178145,5.604221331575315,6.161138947191513,8.11021554005153,3.5164092664380515,5.205156694063103,5.355925318020458,2.14597411954156,0.003721115984021387,0.003745516744572347,0.006433667198603097,0.0037129823971710674,2.263448640824535,1.4333388374020561,1.4651160261288512,0.0029606256135164695
119,33.668710380112586,0.0,0.0,0.0,0.0,12.19004774384687,12.593024528767426,10.457247568688471,27.593835347435185,0.5339442400197391,15.877285325869972,12.77436408198168,14.678429390731313,14.79932242620748,9.218093955057757,9.27854047279584,15.93773184360806,9.197945115811727,8.543107840315825,8.271098510494447,12.673619885751542,7.334177485554149
49,0.0,0.0,0.9000000000000001,0.58,0.23000000000000004,0.0,0.23000000000000004,0.22000000000000003,1.13,0.0,0.0,0.049999999999999996,0.03,0.07000000000000002,0.0,0.11000000000000001,0.09,0.04,0.049999999999999996,0.02,0.03,0.0
176,0.26,0.0,0.14,0.04,0.01,0.0,0.0,0.030000000000000002,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.04,0.08,0.08999999999999998,0.04,0.0
36,64.15,9.63,32.78,33.089999999999996,20.73,16.200000000000003,21.07999999999999,13.64,44.279999999999994,0.0,24.970000000000006,17.76,28.440000000000005,30.45000000000001,17.25,9.490000000000002,15.699999999999998,20.059999999999995,21.130000000000003,21.039999999999992,24.640000000000004,0.0
78,0.0,0.0,0.16,0.19,0.0,0.15000000000000002,0.0,0.049999999999999996,0.25,0.0,0.0,0.0,0.04,0.11,0.11,0.0,0.0,0.0,0.0,0.02,0.01,0.0
128,0.0,0.0,0.0,0.0,0.006423968227107451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.28,0.0,0.06,0.07999999999999999,0.0,0.14,0.06,0.039999999999999994,0.009999999999999998,0.0,0.05,0.0,0.009999999999999998,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0
139,0.33,0.06,0.19,0.12,0.0,0.14,0.07,0.08000000000000002,0.0,0.0,0.12,0.12,0.15,0.14,0.0,0.12,0.12,0.18,0.0,0.09,0.010000000000000002,0.0
18,0.0,0.0,0.029968149687698363,0.009989383229232787,0.0,0.059936299375396726,0.049946916146163936,0.0,0.06992568260462953,0.0,0.6093523769832,0.039957532916931146,0.009989383229232787,0.009989383229232787,0.0,0.029968149687698363,0.939002023547882,0.0,0.0,0.0,0.0,0.0
177,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.374567942809667,0.19714102253140367,0.0,2.099551889959449,0.482995505201939,0.19714102253140367,2.286835861364282,0.0,1.8531256117951942,0.4731384540753687,0.12814166464541238,0.29571153379710546,2.7304031620599405,0.7885640901256147,0.4731384540753687,0.16756986915169314,0.06899935788599129,0.14785576689855273,0.08871346013913164,0.0
99,0.0,2.3365337755814566,1.39792619051882,1.4578373129696265,4.37351193890888,0.5192297279069903,0.0,0.139792619051882,0.4393482313059148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8672299830501382,1.9670818538014825,1.8772151701252726,1.7673781122987942,0.0,0.0
90,70.91,0.0,23.21,19.08,0.51,22.43,20.08,19.11,30.17,6.66,4.92,26.049999999999997,20.730000000000004,26.340000000000003,17.68,29.17,30.579999999999995,23.22,23.8,29.459999999999997,0.0,10.53
54,3.291409474263055,0.0,1.448546566496947,1.607082593793549,0.0,0.8833690648140219,0.14,0.8437996450209034,4.520817201173765,0.0,0.18939718771036562,0.0,0.0,0.6652636177243014,0.665177501682925,0.0,0.029741651875870977,0.00991388395862366,0.0,0.06956941979311831,0.00991388395862366,0.0
57,14.190821911829588,0.0,12.757451745478448,15.35693862286237,6.829393080127185,26.656338833905313,9.641764072831062,4.69394010075381,8.440378712631858,7.2148436302356656,0.0,3.5628554654247706,2.198636588291048,4.235406522862309,0.32046757291934985,0.0,8.042128154013833,6.611959436476248,7.313677104622457,9.151979728216748,5.781758251627211,4.230072703754609
23,0.0,0.0,0.228912474371729,0.2060212269345561,0.0,0.228912474371729,0.2861405929646612,0.26324934552748835,0.2861405929646612,0.0,0.228912474371729,0.2861405929646612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
