id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Hovde,3.33,0,0.72,0.21,0,0,0.36,0,1.7,0,0,0,0.07,0,1.28,0,0.17,0.3,0.15,0.03,0,0
62,Hull,2.76,0,0.32,0.31,0,2.9,0,0.08,5.27,0,3.64,0.61,0,0,0.05,3.14,3.85,0,0.37,0.12,0.11,0.03
167,Hummer_Point,0.58,0,0.06,0.07,0,0.06,0.12,0.06,0.08,0,0,0,0.1,0.07,0.1,0,0,0,0,0,0,0
135,Ironside,0,0.84,0.01,0,0,0.19,0,0,0.13,0,0,0,0,0.01,0.01,0,0.03,0.03,0.02,0.05,0,0
4,Jackson,2.95,0.29,0.88,0.75,0,0,0.03,0.06,1.45,0,0,0.07,0.38,0.61,0.26,0,0,0,0,0.03,0.03,0
125,Jelbart,11.53,4.46,12.68,11.08,0,8.7,7.25,7.79,11.76,0,7.14,9.2,12.76,10.94,9.02,5.13,5.05,4.41,3.0,10.84,9.74,4.8
137,Kirkby,0.11,0.05,0.1,0.11,0,0.15,0.06,0.06,0.33,0,0.14,0.1,0.08,0.05,0,0,0.15,0.12,0.15,0.12,0,0
63,Land,0.95,0,1.75,1.68,0,4.3,1.64,1.42,11.19,0,7.51,10.51,7.56,7.23,5.65,5.07,1.75,0.74,1.12,1.04,0.77,0
154,LarsenA,0,0,0,0.3,0,0,0,0,0.47,0,0.34,0,0.11,0.44,0,0,1.54,0,0.43,0.21,0.2,0
51,LarsenB,0,0.54,0,0,0,2.35,0,0.07,0,0,5.82,3.28,7.83,5.38,4.06,0,0.58,0,5.54,5.43,7.14,6.52
8,LarsenC,69.91,0,27.07,18.74,0,0,15.95,33.8,49.74,1.32,2.91,31.31,34.61,43.87,5.27,32.61,28.77,33.5,0,7.25,0,15.54
6,LarsenD,10.52,0,5.22,4.86,0,4.8,3.76,3.91,5.43,1.85,4.36,3.83,2.97,3.44,0,6.26,9.04,5.92,5.8,5.52,5.28,0
5,LarsenD_1,0.29,0.12,0.15,0.01,0,0.21,0.15,0.17,0.3,0.12,0.2,0.12,0.18,0.18,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0
161,LarsenE,0,1.06,2.01,2.19,0.66,2.17,1.9,1.38,3.25,0.71,1.95,1.63,1.23,2.33,0,1.18,0.77,0.53,0.34,0.16,0.12,0.02
7,LarsenF,0,0.68,1.14,1.09,0.17,1.09,0.91,0.93,1.19,0.64,0.84,0.66,0.64,0.63,0,0,0.43,0.32,0.33,0.16,0.04,0.03
33,LarsenG,1.77,0.26,0.77,0.71,0,0.36,0,2.82,0,0,0.99,0.67,0.7,0.57,0,0.27,0.33,0.28,0.25,0.16,0.15,0
112,Lauritzen,1.67,0,2.13,2.04,0,2.25,1.55,1.3,2.97,0,0,0,0,1.39,1.62,0,0.04,0.04,0.1,0.15,0.08,0
120,Lazarev,6.91,1.19,3.84,3.3,0,2.88,3.69,3.73,3.95,1.03,3.68,3.54,3.63,3.69,2.6,2.19,1.9,1.77,1.58,0,1.05,0.06
31,Lillie,0,1.64,0.29,0.3,0,0.33,0,0,0.08,0,0.03,0,0,0.06,0,0,0.14,0.11,0.06,0.15,0.02,0
27,Liotard,0.9,0.26,0.9,0.63,0.03,0.29,0.32,0.22,0,0,0.41,0.27,0.2,0.09,0,0.35,0.36,0.21,0.03,0,0.03,0
132,Mandible_Cirque,0.02,0,0,0,0.08,0,0.01,0.03,0.01,0,0,0,0.06,0,0.01,0,0,0.01,0,0.01,0,0
134,Manhaul,0.02,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Marin,0,0,0,0.01,0,0,0,0,0.03,0,0,0.01,0.02,0,0,0.01,0,0,0.01,0.02,0,0
83,Mariner,1.97,0.43,0.8,1.13,0,0.98,0.83,0.52,0.99,0,0.49,0.79,0.55,0.36,0,0,0.78,0.28,0.36,0.15,0.29,0
149,Marret,0,0.31,0.44,0.42,0,0.34,0.39,0.14,0.08,0,0.03,0.06,0,0.04,0,0.39,0.31,0,0.02,0.42,0.5,0
88,Matusevitch,13.0,0,0.71,1.32,0,3.69,0,3.21,3.63,0,4.86,4.49,2.32,5.33,4.22,0,0,0.12,0.54,0.3,0.56,0
26,May_Glacier,0,0,1.73,1.52,0.68,2.09,1.24,1.54,2.37,0.58,0,0,0.7,1.17,0.39,0.41,0.83,0.93,1.04,0.81,0,0
142,McLeod,0.12,0.04,0.09,0.08,0.02,0.03,0.04,0.03,0,0,0.07,0.02,0.02,0.01,0,0.16,0.02,0.02,0.01,0.01,0.01,0
48,Mendelssohn,0.38,0.09,0.31,0.33,0,0,0.07,2.75,0,0,0.55,0,0.07,0.16,0,0.2,0,0.03,0.1,0.03,0.09,0
91,Mertz,13.84,5.52,5.64,6.09,0,10.47,3.72,5.07,13.66,0,0,3.06,7.02,13.18,10.81,17.72,18.36,12.98,11.56,12.08,10.83,7.51
96,Morse,0,0.05,0.35,0.36,0,0,0,0.03,0.18,0.03,0,0.08,0.02,0.06,0.05,0,0,0.01,0.01,0,0.02,0
157,Moscow_University,14.17,0,18.44,9.72,0,10.43,2.89,0,0,0,3.14,0,10.76,11.44,10.94,8.23,0,5.09,0,2.27,2.15,0
85,Moubray,0.16,0.69,0.1,0.16,0,0.14,0.05,0.05,0.13,0,0.07,0.02,0.11,0.12,0,0,0.25,0.04,0.05,0.04,0.01,0
117,Mulebreen,2.31,0.32,0.65,0.61,0,0.78,0,0.43,2.25,0,0,0.21,0.28,0.54,0.76,0,0.95,0.01,0.1,0.12,0.16,0
13,Myers,0,0,0.44,0.57,1.32,0,0.18,0.45,0.98,0.64,0,0.11,0.03,0.17,0,5.72,0.02,0.04,0.02,0.02,0.01,0
64,Nickerson,8.4,0,4.14,3.94,0,3.19,0,0,7.07,0,3.0,0,2.7,2.41,2.62,3.78,4.85,2.89,2.01,1.21,0.82,0.01
162,Ninnis,0,22.33,37.37,31.51,0.25,32.26,15.02,21.72,37.93,8.83,23.0,12.86,0,22.61,13.4,14.04,23.06,0,18.48,20.9,18.73,0
122,Nivl,2.12,0.24,0.64,1.17,0,0.76,0.84,0.58,1.13,0.16,0.65,0.86,0.59,0.81,0,0,0,0.06,0.24,0.02,0.27,0
87,Noll,0.7,0,0.26,0.25,0,0.49,0.2,0.25,0.16,0,0.45,0.34,0.52,0.38,0.36,0,0.27,0,0.1,0,0,0
72,Nordenskjold,0.89,0.41,0.25,0.62,0,0.56,0.51,0.02,0.55,0,0,0.06,0,0.5,0,0,1.79,0,0.28,0.19,0.39,0
129,Parker,0.07,0.05,0.05,0.05,0,0.06,0,0,0.14,0,0.05,0,0,0.04,0.05,0,0.01,0,0.01,0,0,0
141,Paternostro,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0,0.14,0.01,0,0,0,0.01,0
169,Perkins,0.33,0.02,0.14,0.08,0.21,0,0.15,0.17,0.1,0.12,0,0.01,0,0,0,0.06,0.04,0.01,0,0,0,0
2,Philbin_Inlet,0.37,0,0.29,0.21,0,0.32,0,0.02,1.17,0,0.31,0,0.05,0.11,0.18,0,0,0,0,0,0.01,0
55,Pine_Island,65.55,0,66.79,0,30.74,48.41,69.66,46.12,93.96,0,51.05,35.78,48.45,52.24,0,45.82,0,45.47,0,0,0,50.59
14,Porter,0.99,0,0.12,0.1,0,0.13,0.14,0.23,0.17,0,0.07,0.13,0.23,0.17,0,0.24,0,0.02,0.03,0.03,0,0
95,PourquoiPas,1.16,3.54,7.73,7.38,0.3,8.07,3.39,0,8.41,0,8.15,5.88,6.47,6.99,6.05,8.03,4.48,1.98,1.64,0.94,0.88,0
158,Prince_Harald,16.75,0,2.65,2.54,0,6.88,6.14,5.63,5.24,0,6.63,6.69,5.94,5.89,0.07,17.68,11.45,0,0,0,0,0
104,Publications,4.28,0,0,0.68,0,1.68,0,1.8,0,0,3.59,4.36,4.44,3.94,3.7,0,0,0.05,0.69,0.94,1.03,0.83
38,Quar,0,0,0.9,0.96,0,1.0,0.27,0.9,0.94,0.31,0.99,0.08,0.87,0.63,0.82,0,0.12,0.1,0.04,0.06,0.03,0
136,Quatermain_Point,0,0.04,0,0.01,0,0.02,0.04,0.01,0.03,0,0.06,0.04,0.02,0.04,0.02,0,0,0,0,0,0,0
12,Rayner_Thyer,12.91,2.28,4.68,4.52,0,3.5,0.86,0.27,0,0,0,2.15,3.97,3.62,2.96,2.57,0.51,0,0.03,0.02,0,0
86,Rennick,1.99,0.51,1.05,0.85,0,0.86,0.31,0.59,1.21,0,0.33,0.47,0.51,0.61,0.56,0,0.49,0.26,0.2,0.07,0.08,0
67,Richter,1.85,0.68,0.9,0.78,0,0.77,0.03,0,1.86,0,0,0,0.45,0.54,0.07,0,0.3,0.24,0.42,0.33,0.17,0
37,Riiser-Larsen,25.27,6.62,10.95,9.92,0,6.19,6.13,5.67,10.16,0,7.13,2.5,6.4,9.01,3.7,0,6.42,3.76,4.39,4.26,6.36,3.04
34,Ronne,0,0,151.03,153.75,124.5,148.13,98.77,194.16,166.08,54.0,165.52,162.97,162.41,153.8,125.0,134.44,113.61,130.0,128.2,133.22,140.47,122.67
171,Rose_Point,0.02,0.02,0.02,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
