,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10,5.278796910456641,5.13484728590804,5.113557865271232,5.113297015771098,5.117561742785725,5.093048367398517,5.118298019290166,5.096627972591882,5.094887327482352,5.0709461273230945,5.094639127477636,5.1079547029410675,5.146189836837192,5.122217341988349,5.181772664262743,5.203958650723663,5.149311173725598,5.178179607015525,5.189139503563566,5.252831673582982,5.163434525037243,5.119558462368444,5.135040967139509,5.167837676939315,5.112134639461248,5.106359869388524
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.431028290345781,5.334971340985074,5.3024504620819455,5.341806932189978,5.390307948047074,5.347899413424422,5.349894571533846,5.355844148516511,5.349810552080616,5.329586733119152,5.339494916649645,5.3682608704848125,5.393223312931084,5.379644075168743,5.4135861913219685,5.4239576175611655,5.382695013578761,5.512129364174339,5.485649830167474,5.44153049706552,5.422530902134956,5.443433359641891,5.425330248980746,5.451153996762529,5.429253099053632,5.507651917770882
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5.151623468550425,5.0521665092498536,5.039295263706692,5.054108456013695,5.060726475147974,5.017754902915349,5.007237613201141,5.0105511536673895,5.002081643967402,4.974490729589311,4.990695723465511,5.018215327981919,5.055201281630803,5.019925014367179,5.0399143298467,5.059825352260044,5.0310208267635765,5.193837048515441,5.1143219452055675,5.071792106779795,5.032018736241356,5.049355244825756,5.043766857139648,5.065887662153395,5.0485064926601595,5.090249440972767
47,5.010639602283262,5.0131892055835365,4.989003053251302,4.974324642487292,5.002909811037891,5.022494021451698,5.07821612762955,5.027434144379957,4.988516112543502,5.042898225334455,5.039168276876773,4.9865529897078025,5.012533914368108,5.0540830841604265,5.0484045361572845,5.037142150806931,5.0391145742164465,5.065693974494934,5.052787362404589,5.01240174050601,5.0311036694724605,4.987742700666751,4.988110578285073,5.0620472881029235,5.056865923809555,4.982534795437219
17,5.068914267324632,5.027396296209637,5.012845118108067,5.08294423549406,5.0424388740469235,5.050221843470443,5.078900040203159,5.1131234961903775,5.021879955920206,5.067076575554644,4.9984426624763945,5.058686430919372,5.14505145516813,5.107380892640801,5.021319658342411,5.012389586085365,5.095927304752777,5.324614282760385,5.120949981216278,5.122606711453557,5.119738318037511,5.077354680741071,5.082760000192258,5.0382349071781025,5.116728352328416,5.101323538478435
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4.240978620363318,4.2245012583939925,4.231618909213854,4.269342062784278,4.283736837428549,4.2661623146222984,4.263318143720213,4.275785074026689,4.24447883626689,4.257548548864282,4.229395990786345,4.264669419371564,4.3307036254716955,4.282091582339743,4.244056425923887,4.233558777104253,4.260209933571193,4.442775252591009,4.322659909206888,4.320785747403684,4.282179430256719,4.268496495744456,4.264180286034294,4.249201922831328,4.312898824525916,4.246120200986447
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.1050300898010248,1.181893237020354,1.0639444889941208,1.1126006972568665,1.2846508398767233,1.2232256363680043,1.1710061212964182,1.1102504822257129,1.1206542166344349,1.2253250422304527,1.268695608670413,1.2239879725889593,1.284107216939307,1.3585289191886483,1.3428880759884807,1.1554659550304207,1.0988390189602717,1.0978487600683244,1.1543048280928934,1.1695964570852484,1.2450109085951928,1.155319291776999,1.154863419866267,1.1062946903558197,1.0348301728965694,0.998261358758213
25,,,,,,,,,,,,,,,,,,,,,,,,,,
