,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
34,-0.26335567817545236,-0.338843997074813,-0.14284985087931437,-0.42137593471514306,-0.019897170352373764,-0.9606448566712962,-0.2616389067187508,-0.4143446936666616,-0.04997596083343953,-0.026656146112884752,-0.7242300121886001,-1.0171679823589996,-0.4374897171502106,0.1764484595936903,-0.25328294508674437,-0.7494369216872653,-0.5861870963797965,-0.39430218312074217,-0.7018278048265407,-0.4187514008333591,-0.47851881251774564,-1.1749103786308404,-0.7742526895343123,-0.03141154365095908,-0.3421177622642554,-0.40414550346410477
35,-0.6465621006568812,-0.15823200368946194,-0.14811649270572338,-0.28096838022710524,-0.3376498200219242,-0.5377606473205351,-0.2526908738883249,-0.6864591060589514,-0.27120534588916223,0.02820140353481652,-0.5293996804652331,-0.7092819324184395,-0.46972877240253486,0.0892945088498965,-0.2536940230385941,-0.49040543523502406,-0.6773407931196216,-0.1932573636591194,-0.4713951117014327,-0.39371896641006965,-0.5748038425798997,-0.8195727473993939,-1.003790468945312,-0.2467990784840298,-0.22188716761334046,-0.30217453454408166
36,-1.531228633491394,-0.5317663033710043,-1.3304489439734433,-1.4090109420313068,-1.191401204874201,0.7200365313063319,-0.22235680538099034,-1.8713086987226373,0.2794703423727178,-0.8278111942536714,-1.2942882043710076,0.2773602136711527,-0.6847736947841018,0.11378845308286777,-0.18849138508855134,-0.9126610476297955,-1.1147328401316232,0.08819325957835628,-1.1973894007514085,-1.052871858792705,-0.46094887018173764,-1.440612467048598,-0.6794866426524909,-0.46289980847490964,-0.1312445697388891,-0.8686648855963962
37,-0.858294113274616,-0.7135463107592961,-1.4175174673721531,-1.4242257650617898,-1.2680954683282273,0.2224405233694747,-1.1112466593527741,-1.6729169813741362,-0.4362425193953698,-0.9805817047301832,-1.3770980681637226,-1.3596213198143068,-0.6116529014630739,-0.7415472612441439,-0.94207215982973,-1.1107718871284535,-1.9480499635304358,-0.2997581883320256,-1.4773245605715768,-1.1462841455991448,-0.789152500508119,-1.8117649173327555,-0.7080682206641371,-0.7476121665802508,-0.4965665038997158,-1.2256297014440665
43,-0.1931531237039183,-2.28078747008528,-11.209562396364552,-75.68356384549823,-25.469692332404,25.574947799955094,24.320919002805436,21.834826145853317,-20.845120889799936,-25.438277993883407,8.653965021882739,13.524471282958984,19.283609164612635,32.443991490772795,-0.602423131732004,-43.82087850570679,15.616696587630681,-10.02996361323832,8.360145777463913,2.6700794832514867,2.0265526909913336,0.9950026401451656,-0.446950491118644,0.9875385600275227,-2.0446404080638394,1.3670460917055607
59,,,,,,,,,,,,,,,,,,,,,,,,,,
60,-8.413609106781756,-5.942461185418306,-6.794760454896909,-4.9815095861940675,-6.548600274761012,-6.89020900418804,-7.231893929279154,-4.604580866445781,-7.584860755928501,-4.915061356536866,-4.111166645599059,-6.464605167318302,-6.879791330949516,-7.970271219868027,-6.018571466539695,-7.50616323511312,-7.526444683029394,-4.309379683458988,-4.538843684780462,-5.970262870429807,-7.3620368282364055,-7.732249478815468,-6.972289944032005,-5.390823716701121,-5.946024258692221,-3.6857264494938833
39,-0.2437171359904331,0.37198507316538804,-0.6165403544269185,-1.2901149133901453,-1.0927426749111588,-0.8859306777994337,-1.1932435844335834,-1.3136666259456158,0.5627876512720332,-0.5616459052177227,-1.0866195194777135,-0.6659053146674245,-0.7874645837181083,-0.9476669858483541,-0.5193613413399744,-0.4683643105835523,-0.4489350804711072,-1.2631202100649752,-0.3889797588065865,-0.9111995326935426,-0.9304927004920571,-1.6901585856839505,-1.0846434531424671,-0.4607501866005822,-0.7511465135554022,-0.6454265883211145
40,-18.243579268455505,-18.2122460603714,-18.407312512397766,-17.717758774757385,-18.26980209350586,-16.43005883693695,-19.558712601661682,-21.071318864822388,-16.782355189323425,-19.55882441997528,-15.909220814704895,-16.85352635383606,-17.4471355676651,-15.737929701805115,-12.175136685371399,-11.575400352478027,-18.850110173225403,-17.737366557121277,-18.28902494907379,-15.564353942871094,-14.752524495124817,-15.437059998512268,-18.173187375068665,-13.170176982879639,-15.288895785808563,-15.534107089042664
41,-11.856802008368753,-9.740033810788935,-10.150932171128012,-29.187402378429066,-24.46535051952709,-9.795340901071375,7.193925933404402,7.131847825917331,-20.42894015528939,-36.49663905663924,-14.295575158839876,5.277645967223427,-12.670901022174142,6.955848802219737,3.1929661675610324,-29.898281877691094,-17.0322533195669,-10.141026844693856,-1.1088120381940494,-6.865251436829567,-9.958240238103,-7.461224117062309,-8.123310270634564,-8.216144691814076,-12.241689551960338,-8.41757960211147
42,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-2.634295296957595,-2.7787544316919157,-1.3508839655591234,-3.277356227793951,-2.4684705005250214,-5.659705452856849,-4.459258800556317,-2.18206543651595,-1.9690026366455373,-1.5400958915329512,0.18626284629654563,-3.285493366375177,-3.710367969679516,-0.6129526642725233,-0.33488908189815403,-0.07463511312293718,-4.525505140063039,-3.006896622576083,-4.5675646101074285,-1.281079389030041,-2.147952726988375,-2.0222231467120917,-1.522619215358791,-3.9580912754300366,-2.8874787609448425,-2.0395305309881713
49,-3.6481055847508106,-2.587546089444235,-2.1498180185517253,-2.055487851747094,-3.625024575698615,-1.7722862911118165,-2.0464059989774945,-5.390930120026349,-0.40728609856707615,-1.738295000502819,-1.9711154374088635,0.025327898483782516,-1.545479697745733,-2.3749579142920156,-3.5181847409840947,-2.7886480993045732,-1.9261330813501354,-1.9987064124746683,-3.814456272231444,-0.8080998911192528,-0.9110360178299962,-1.5002267451226745,-2.9021888358024817,2.4293781942656816,-3.838603788069999,-2.798785979338903
